Percentile;Year;GDP;National_Income
pall;1950;4957.4908;5448.6193
pall;1951;5054.7367;5561.3951
pall;1952;5215.4469;5738.3077
pall;1953;5319.8334;5860.3694
pall;1954;5526.1727;6086.177
pall;1955;5775.3873;6356.5571
pall;1956;5678.1094;6284.5753
pall;1957;5988.4829;6625.8805
pall;1958;6354.5078;7028.7609
pall;1959;6695.781;7410.8921
pall;1960;7058.2196;7814.5089
pall;1961;7608.9381;8402.2429
pall;1962;7805.1269;8625.2328
pall;1963;7652.0055;8488.2817
pall;1964;7713.2605;8560.3916
pall;1965;7724.4676;8583.5743
pall;1966;7830.9994;8712.9687
pall;1967;7971.0565;8889.3049
pall;1968;8644.9254;9617.2561
pall;1969;9195.964;10240.0524
pall;1970;9671.1464;10804.0594
pall;1971;10425.9627;11664.5109
pall;1972;11319.0111;12675.5543
pall;1973;12527.8763;14006.097
pall;1974;13209.0458;14800.1704
pall;1975;13139.9138;15085.1837
pall;1976;13987.4932;16057.2583
pall;1977;14108.5302;16289.374
pall;1978;14051.0536;16306.1847
pall;1979;14511.1544;16873.1375
pall;1980;15315.5383;17832.3399
pall;1981;13956.6255;16539.3571
pall;1982;13416.8581;16124.6292
pall;1983;12343.8873;15094.1815
pall;1984;12616.7009;15406.7964
pall;1985;13376.4804;16138.1738
pall;1986;14291.9109;16942.8139
pall;1987;14533.8249;17064.6194
pall;1988;14037.6691;16579.6067
pall;1989;14321.7219;16667.5027
pall;1990;13531.2669;15735.5816
pall;1991;13445.3242;15562.6075
pall;1992;13071.2942;15113.7779
pall;1993;13322.1738;15445.9893
pall;1994;13865.7197;15883.9
pall;1995;14164.9821;16183.5787
pall;1996;14094.025;16147.1395
pall;1997;14158.9303;16294.4012
pall;1998;13785.2845;15953.8005
pall;1999;13344.556;15638.5599
pall;2000;13674.2058;15926.391
pall;2001;13485.6378;15767.1217
pall;2002;13533.1881;15857.0349
pall;2003;13294.7964;15652.969
pall;2004;13799.6296;16170.4504
pall;2005;13897.2598;16319.8254
pall;2006;14126.7498;16601.0924
pall;2007;14723.1293;17250.8499
pall;2008;15199.4965;17778.2255
pall;2009;14826.9714;17422.319
pall;2010;15588.0637;18390.231
pall;2011;15988.0623;18781.2318
pall;2012;16099.9095;18816.6143
pall;2013;16512.7162;19062.6268
pall;2014;16202.9831;18847.4179
pall;2015;15306.9889;17885.814
pall;2016;14539.3644;17034.9365
pall;2017;14577.2125;16995.1992
pall;2018;14445.0003;16958.824
pall;2019;14386.5311;16902.7564
pall;2020;13538.8557;15993.7939
